date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:01:08	908/908	---M--	200	added ('OK')	image/png	etag:%225b690293-605%22	https://tetris.com/assets/images/favicon/favicon-16x16.png	C:/My%20Web%20Sites/Tetris/tetris.com/assets/images/favicon/favicon-16x16.png	(from https://tetris.com/play-tetris/?utm_source=top_nav_link&utm_medium=webnav&utm_campaign=playNow_btm_tst&utm_content=text_play_now)
20:01:08	39695/39695	---MC-	200	added ('OK')	text/javascript	date:Thu,%2013%20Sep%202018%2023:12:19%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/Tetris/www.google-analytics.com/analytics.js	(from https://tetris.com/play-tetris/?utm_source=top_nav_link&utm_medium=webnav&utm_campaign=playNow_btm_tst&utm_content=text_play_now)
20:01:09	20664/20664	---MC-	200	added ('OK')	text/javascript	date:Wed,%2019%20Sep%202018%2000:01:06%20GMT	https://www.googletagservices.com/tag/js/gpt.js	C:/My%20Web%20Sites/Tetris/www.googletagservices.com/tag/js/gpt.js	(from https://tetris.com/play-tetris/?utm_source=top_nav_link&utm_medium=webnav&utm_campaign=playNow_btm_tst&utm_content=text_play_now)
20:01:09	33036/33036	---M--	200	added ('OK')	image/jpeg	etag:%225b6902bf-f148%22	https://tetris.com/play-tetris-content/resources/project-tetriscom/images/main-background.jpg	C:/My%20Web%20Sites/Tetris/tetris.com/play-tetris-content/resources/project-tetriscom/images/main-background.jpg	(from https://tetris.com/play-tetris/?utm_source=top_nav_link&utm_medium=webnav&utm_campaign=playNow_btm_tst&utm_content=text_play_now)
20:01:09	370/370	---MCZ	200	added ('OK')	application/javascript	etag:W/%22220-572cf162d17d4%22	https://tetris.com/play-tetris-content/ads.js?cbid=34CFAA0CFD75EF6A1	C:/My%20Web%20Sites/Tetris/tetris.com/play-tetris-content/adsb660.js	(from https://tetris.com/play-tetris/?utm_source=top_nav_link&utm_medium=webnav&utm_campaign=playNow_btm_tst&utm_content=text_play_now)
20:01:09	6885/6885	---M--	200	added ('OK')	image/png	etag:%225b6902bf-5a2b%22	https://tetris.com/play-tetris-content/resources/project-tetriscom/images/mb_promo_v1.png	C:/My%20Web%20Sites/Tetris/tetris.com/play-tetris-content/resources/project-tetriscom/images/mb_promo_v1.png	(from https://tetris.com/play-tetris/?utm_source=top_nav_link&utm_medium=webnav&utm_campaign=playNow_btm_tst&utm_content=text_play_now)
20:01:09	44780/44780	---M--	200	added ('OK')	image/png	etag:%225b6902bf-bde5%22	https://tetris.com/play-tetris-content/resources/images/controls_and_scoring.png	C:/My%20Web%20Sites/Tetris/tetris.com/play-tetris-content/resources/images/controls_and_scoring.png	(from https://tetris.com/play-tetris/?utm_source=top_nav_link&utm_medium=webnav&utm_campaign=playNow_btm_tst&utm_content=text_play_now)
20:01:12	26138/26138	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Sep%202018%2000:01:08%20GMT	https://tetris.com/play-tetris/?utm_source=flyout_button&utm_medium=web_button&utm_campaign=playNow_btm_flyout&utm_content=button_play_now_flyout	C:/My%20Web%20Sites/Tetris/tetris.com/play-tetris/index3c75.html	(from https://tetris.com/play-tetris/?utm_source=top_nav_link&utm_medium=webnav&utm_campaign=playNow_btm_tst&utm_content=text_play_now)
20:01:13	11176/11176	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b9bd6fb-2ba8%22	https://ajax.cloudflare.com/cdn-cgi/scripts/2448a7bd/cloudflare-static/rocket-loader.min.js	C:/My%20Web%20Sites/Tetris/ajax.cloudflare.com/cdn-cgi/scripts/2448a7bd/cloudflare-static/rocket-loader.min.js	(from https://tetris.com/play-tetris/?utm_source=top_nav_link&utm_medium=webnav&utm_campaign=playNow_btm_tst&utm_content=text_play_now)
20:01:13	732/732	---M--	200	added ('OK')	image/png	etag:%225b690293-3e75%22	https://tetris.com/assets/brand/footer-tetriminos.png	C:/My%20Web%20Sites/Tetris/tetris.com/assets/brand/footer-tetriminos.png	(from https://tetris.com/assets/css/style.css?v=6)
20:01:15	13300/13300	---M--	200	added ('OK')	image/png	etag:%225b690293-4576%22	https://tetris.com/assets/brand/footer-pattern.png	C:/My%20Web%20Sites/Tetris/tetris.com/assets/brand/footer-pattern.png	(from https://tetris.com/assets/css/style.css?v=6)
20:01:19	356633/356633	---M-Z	200	added ('OK')	application/javascript	etag:%225ba11623-57119%22	http://s7.addthis.com/js/300/addthis_widget.js	C:/My%20Web%20Sites/Tetris/s7.addthis.com/js/300/addthis_widget.js	(from https://tetris.com/play-tetris/?utm_source=top_nav_link&utm_medium=webnav&utm_campaign=playNow_btm_tst&utm_content=text_play_now)
20:01:19	143490/143490	---M--	200	added ('OK')	image/png	etag:%225b690293-2599b%22	https://tetris.com/assets/brand/footer-logo.png	C:/My%20Web%20Sites/Tetris/tetris.com/assets/brand/footer-logo.png	(from https://tetris.com/play-tetris/?utm_source=top_nav_link&utm_medium=webnav&utm_campaign=playNow_btm_tst&utm_content=text_play_now)
20:01:19	314/314	---M--	200	added ('OK')	image/png	etag:%22217-572cf13878ac0%22	https://tetris.com/assets/brand/tetriminos-banner.png	C:/My%20Web%20Sites/Tetris/tetris.com/assets/brand/tetriminos-banner.png	(from https://tetris.com/assets/css/style.css?v=6)
20:01:20	0/0	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Sep%202018%2000:01:17%20GMT	https://tetris.com/assets/images/lightbox/loading.gif	C:/My%20Web%20Sites/Tetris/tetris.com/assets/images/lightbox/loading.gif	(from https://tetris.com/assets/css/style.css?v=6)
